"","Location","Genotype","Block","Sample_Type","Sample_Type_Blanks_differentiated","Inbred_or_Hybrid","R1_Fastq_Name","R2_Fastq_Name","Experiment","Group"
"MMH-2GH-39K","GH","Hopi_blue","2","Stalk","Stalk","Open_Pollinated","MMH-2GH-39K_S142_L001_R1_001.trimmed.fastq.gz","MMH-2GH-39K_S142_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END12Ka","IH","DKC70-27","2","Stalk","Stalk","Hybrid","END12Ka_S253_L001_R1_001.fastq.gz","END12Ka_S253_L001_R2_001.fastq.gz","END","Stalk_END"
"END10Kb","IH","B73","1","Stalk","Stalk","Inbred","END10Kb_S279_L001_R1_001.fastq.gz","END10Kb_S279_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-52-1K","IH","B73xPh207","0","Stalk","Stalk","Hybrid","MMH-52-1K_S56_L001_R1_001.fastq.gz","MMH-52-1K_S56_L001_R2_001.fastq.gz","MMH","Stalk_MMH"
"END2Za","IH","CML322","0","Rhizosphere","Rhizosphere","Inbred","END2Za_S203_L001_R1_001.fastq.gz","END2Za_S203_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-BK","Blank","Blank","Blank","Stalk","Blank-Stalk","Blank","MMH-2GH-BK_S150_L001_R1_001.trimmed.fastq.gz","MMH-2GH-BK_S150_L001_R2_001.trimmed.fastq.gz","GH","Blank-Stalk_GH"
"END7Kb","IH","HP301","1","Stalk","Stalk","Inbred","END7Kb_S244_L001_R1_001.fastq.gz","END7Kb_S244_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-10K","GH","CML247","0","Stalk","Stalk","Inbred","MMH-2GH-10K_S123_L001_R1_001.trimmed.fastq.gz","MMH-2GH-10K_S123_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-23-2Z","IH","B73","0","Rhizosphere","Rhizosphere","Inbred","MMH-23-2Z_S64_L001_R1_001.fastq.gz","MMH-23-2Z_S64_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"END7Rb","IH","HP301","1","Root","Root","Inbred","END7Rb_S210_L001_R1_001.fastq.gz","END7Rb_S210_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-31R","GH","Mo17","2","Root","Root","Inbred","MMH-2GH-31R_S98_L001_R1_001.trimmed.fastq.gz","MMH-2GH-31R_S98_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-25K","GH","Mo17","1","Stalk","Stalk","Inbred","MMH-2GH-25K_S122_L001_R1_001.trimmed.fastq.gz","MMH-2GH-25K_S122_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END6Zb","IH","CML322","1","Rhizosphere","Rhizosphere","Inbred","END6Zb_S215_L001_R1_001.fastq.gz","END6Zb_S215_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-27Z","GH","Reid_yellow_dent","1","Rhizosphere","Rhizosphere","Open_Pollinated","MMH-2GH-27Z_S50_L001_R1_001.trimmed.fastq.gz","MMH-2GH-27Z_S50_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END14Ka","IH","903VIP","3","Stalk","Stalk","Hybrid","END14Ka_S207_L001_R1_001.fastq.gz","END14Ka_S207_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-9Z","GH","Mo17xB73","0","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-9Z_S32_L001_R1_001.trimmed.fastq.gz","MMH-2GH-9Z_S32_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-50-2Z","IH","Ph207xB73","0","Rhizosphere","Rhizosphere","Hybrid","MMH-50-2Z_S70_L001_R1_001.fastq.gz","MMH-50-2Z_S70_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"MMH-2GH-42Z","GH","Ph207","2","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-42Z_S65_L001_R1_001.trimmed.fastq.gz","MMH-2GH-42Z_S65_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END2Ra","IH","CML322","0","Root","Root","Inbred","END2Ra_S247_L001_R1_001.fastq.gz","END2Ra_S247_L001_R2_001.fastq.gz","END","Root_END"
"END15Za","IH","DKC70-27","3","Rhizosphere","Rhizosphere","Hybrid","END15Za_S250_L001_R1_001.fastq.gz","END15Za_S250_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-16K","GH","Ph207xB73","1","Stalk","Stalk","Hybrid","MMH-2GH-16K_S121_L001_R1_001.trimmed.fastq.gz","MMH-2GH-16K_S121_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-37R","GH","B73xPh207","2","Root","Root","Hybrid","MMH-2GH-37R_S103_L001_R1_001.trimmed.fastq.gz","MMH-2GH-37R_S103_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-48-1K","IH","Ried_Yellow_Dent","0","Stalk","Stalk","Open_Pollinated","MMH-48-1K_S53_L001_R1_001.fastq.gz","MMH-48-1K_S53_L001_R2_001.fastq.gz","MMH","Stalk_MMH"
"MMH-2GH-7R","GH","Hopi_blue","0","Root","Root","Open_Pollinated","MMH-2GH-7R_S76_L001_R1_001.trimmed.fastq.gz","MMH-2GH-7R_S76_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END13Za","IH","903VIP","2","Rhizosphere","Rhizosphere","Hybrid","END13Za_S273_L001_R1_001.fastq.gz","END13Za_S273_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"P2BI","Blank","Blank","Blank","Soil","Blank-Soil","Blank","P2BI_S144_L001_R1_001.fastq.gz","P2BI_S144_L001_R2_001.fastq.gz","END","Blank-Soil_END"
"MMH-2GH-39Z","GH","Hopi_blue","2","Rhizosphere","Rhizosphere","Open_Pollinated","MMH-2GH-39Z_S62_L001_R1_001.trimmed.fastq.gz","MMH-2GH-39Z_S62_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END3Kb","IH","HP301","0","Stalk","Stalk","Inbred","END3Kb_S205_L001_R1_001.fastq.gz","END3Kb_S205_L001_R2_001.fastq.gz","END","Stalk_END"
"P3BR","Blank","Blank","Blank","Root","Blank-Root","Blank","P3BR_S51_L001_R1_001.fastq.gz","P3BR_S51_L001_R2_001.fastq.gz","END","Blank-Root_END"
"MMH-2GH-25Z","GH","Mo17","1","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-25Z_S48_L001_R1_001.trimmed.fastq.gz","MMH-2GH-25Z_S48_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END8Ra","IH","Mo17","1","Root","Root","Inbred","END8Ra_S283_L001_R1_001.fastq.gz","END8Ra_S283_L001_R2_001.fastq.gz","END","Root_END"
"END9Ra","IH","PH207","1","Root","Root","Inbred","END9Ra_S282_L001_R1_001.fastq.gz","END9Ra_S282_L001_R2_001.fastq.gz","END","Root_END"
"END10Ra","IH","B73","1","Root","Root","Inbred","END10Ra_S222_L001_R1_001.fastq.gz","END10Ra_S222_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-6Z","GH","B73xPh207","0","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-6Z_S29_L001_R1_001.trimmed.fastq.gz","MMH-2GH-6Z_S29_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-20K","GH","B73xOh43","1","Stalk","Stalk","Hybrid","MMH-2GH-20K_S130_L001_R1_001.trimmed.fastq.gz","MMH-2GH-20K_S130_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-1K","GH","B73xOh43","0","Stalk","Stalk","Hybrid","MMH-2GH-1K_S143_L001_R1_001.trimmed.fastq.gz","MMH-2GH-1K_S143_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-23-1Z","IH","B73","0","Rhizosphere","Rhizosphere","Inbred","MMH-23-1Z_S63_L001_R1_001.fastq.gz","MMH-23-1Z_S63_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"MMH-48-2K","IH","Ried_Yellow_Dent","0","Stalk","Stalk","Open_Pollinated","MMH-48-2K_S54_L001_R1_001.fastq.gz","MMH-48-2K_S54_L001_R2_001.fastq.gz","MMH","Stalk_MMH"
"MMH-2GH-6R","GH","B73xPh207","0","Root","Root","Hybrid","MMH-2GH-6R_S75_L001_R1_001.trimmed.fastq.gz","MMH-2GH-6R_S75_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-40Z","GH","Reid_yellow_dent","2","Rhizosphere","Rhizosphere","Open_Pollinated","MMH-2GH-40Z_S63_L001_R1_001.trimmed.fastq.gz","MMH-2GH-40Z_S63_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END3Rb","IH","HP301","0","Root","Root","Inbred","END3Rb_S235_L001_R1_001.fastq.gz","END3Rb_S235_L001_R2_001.fastq.gz","END","Root_END"
"END6Kb","IH","CML322","1","Stalk","Stalk","Inbred","END6Kb_S278_L001_R1_001.fastq.gz","END6Kb_S278_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-42R","GH","Ph207","2","Root","Root","Inbred","MMH-2GH-42R_S107_L001_R1_001.trimmed.fastq.gz","MMH-2GH-42R_S107_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-32R","GH","Ph207xB73","2","Root","Root","Hybrid","MMH-2GH-32R_S99_L001_R1_001.trimmed.fastq.gz","MMH-2GH-32R_S99_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END4Ra","IH","PH207","0","Root","Root","Inbred","END4Ra_S236_L001_R1_001.fastq.gz","END4Ra_S236_L001_R2_001.fastq.gz","END","Root_END"
"END4Zb","IH","PH207","0","Rhizosphere","Rhizosphere","Inbred","END4Zb_S263_L001_R1_001.fastq.gz","END4Zb_S263_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-34R","GH","Ph207xMo17","2","Root","Root","Hybrid","MMH-2GH-34R_S100_L001_R1_001.trimmed.fastq.gz","MMH-2GH-34R_S100_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END6Za","IH","CML322","1","Rhizosphere","Rhizosphere","Inbred","END6Za_S251_L001_R1_001.fastq.gz","END6Za_S251_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"END12Kb","IH","DKC70-27","2","Stalk","Stalk","Hybrid","END12Kb_S265_L001_R1_001.fastq.gz","END12Kb_S265_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-18Z","GH","Oh43","1","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-18Z_S41_L001_R1_001.trimmed.fastq.gz","MMH-2GH-18Z_S41_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-55-2Z","IH","Bloody_Butcher_corn","0","Rhizosphere","Rhizosphere","Open_Pollinated","MMH-55-2Z_S74_L001_R1_001.fastq.gz","MMH-55-2Z_S74_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"MMH-50-1K","IH","Ph207xB73","0","Stalk","Stalk","Hybrid","MMH-50-1K_S60_L001_R1_001.fastq.gz","MMH-50-1K_S60_L001_R2_001.fastq.gz","MMH","Stalk_MMH"
"MMH-2GH-5R","GH","B73","0","Root","Root","Inbred","MMH-2GH-5R_S74_L001_R1_001.trimmed.fastq.gz","MMH-2GH-5R_S74_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-1R","GH","B73xOh43","0","Root","Root","Hybrid","MMH-2GH-1R_S70_L001_R1_001.trimmed.fastq.gz","MMH-2GH-1R_S70_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"P4BZ","Blank","Blank","Blank","Rhizosphere","Blank-Rhizosphere","Blank","P4BZ_S60_L001_R1_001.fastq.gz","P4BZ_S60_L001_R2_001.fastq.gz","END","Blank-Rhizosphere_END"
"MMH-55-1Z","IH","Bloody_Butcher_corn","0","Rhizosphere","Rhizosphere","Open_Pollinated","MMH-55-1Z_S73_L001_R1_001.fastq.gz","MMH-55-1Z_S73_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"END8Rb","IH","Mo17","1","Root","Root","Inbred","END8Rb_S200_L001_R1_001.fastq.gz","END8Rb_S200_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-19K","GH","B73xCML247","1","Stalk","Stalk","Hybrid","MMH-2GH-19K_S131_L001_R1_001.trimmed.fastq.gz","MMH-2GH-19K_S131_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-19R","GH","B73xCML247","1","Root","Root","Hybrid","MMH-2GH-19R_S87_L001_R1_001.trimmed.fastq.gz","MMH-2GH-19R_S87_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-14R","GH","Reid_yellow_dent","0","Root","Root","Open_Pollinated","MMH-2GH-14R_S82_L001_R1_001.trimmed.fastq.gz","MMH-2GH-14R_S82_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-45K","GH","Mo17xB73","2","Stalk","Stalk","Hybrid","MMH-2GH-45K_S127_L001_R1_001.trimmed.fastq.gz","MMH-2GH-45K_S127_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END11Rb","IH","B73xMo17","2","Root","Root","Hybrid","END11Rb_S209_L001_R1_001.fastq.gz","END11Rb_S209_L001_R2_001.fastq.gz","END","Root_END"
"END11Za","IH","B73xMo17","2","Rhizosphere","Rhizosphere","Hybrid","END11Za_S202_L001_R1_001.fastq.gz","END11Za_S202_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"END7Ra","IH","HP301","1","Root","Root","Inbred","END7Ra_S198_L001_R1_001.fastq.gz","END7Ra_S198_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-6K","GH","B73xPh207","0","Stalk","Stalk","Hybrid","MMH-2GH-6K_S129_L001_R1_001.trimmed.fastq.gz","MMH-2GH-6K_S129_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END13Kb","IH","903VIP","2","Stalk","Stalk","Hybrid","END13Kb_S231_L001_R1_001.fastq.gz","END13Kb_S231_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-18R","GH","Oh43","1","Root","Root","Inbred","MMH-2GH-18R_S86_L001_R1_001.trimmed.fastq.gz","MMH-2GH-18R_S86_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"P3BZ","Blank","Blank","Blank","Rhizosphere","Blank-Rhizosphere","Blank","P3BZ_S264_L001_R1_001.fastq.gz","P3BZ_S264_L001_R2_001.fastq.gz","END","Blank-Rhizosphere_END"
"END16Kb","IH","B73xMo17","3","Stalk","Stalk","Hybrid","END16Kb_S255_L001_R1_001.fastq.gz","END16Kb_S255_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-33-2Z","IH","Ph207","0","Rhizosphere","Rhizosphere","Inbred","MMH-33-2Z_S66_L001_R1_001.fastq.gz","MMH-33-2Z_S66_L001_R2_001.fastq.gz","MMH","Rhizosphere_MMH"
"END5Kb","IH","B73","0","Stalk","Stalk","Inbred","END5Kb_S277_L001_R1_001.fastq.gz","END5Kb_S277_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-44R","GH","Oh43","2","Root","Root","Inbred","MMH-2GH-44R_S109_L001_R1_001.trimmed.fastq.gz","MMH-2GH-44R_S109_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END16Ka","IH","B73xMo17","3","Stalk","Stalk","Hybrid","END16Ka_S267_L001_R1_001.fastq.gz","END16Ka_S267_L001_R2_001.fastq.gz","END","Stalk_END"
"END7Za","IH","HP301","1","Rhizosphere","Rhizosphere","Inbred","END7Za_S237_L001_R1_001.fastq.gz","END7Za_S237_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-55-2K","IH","Bloody_Butcher_corn","0","Stalk","Stalk","Open_Pollinated","MMH-55-2K_S57_L001_R1_001.fastq.gz","MMH-55-2K_S57_L001_R2_001.fastq.gz","MMH","Stalk_MMH"
"MMH-2GH-35R","GH","B73xMo17","2","Root","Root","Hybrid","MMH-2GH-35R_S101_L001_R1_001.trimmed.fastq.gz","MMH-2GH-35R_S101_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-44K","GH","Oh43","2","Stalk","Stalk","Inbred","MMH-2GH-44K_S136_L001_R1_001.trimmed.fastq.gz","MMH-2GH-44K_S136_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END10Za","IH","B73","1","Rhizosphere","Rhizosphere","Inbred","END10Za_S285_L001_R1_001.fastq.gz","END10Za_S285_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-27K","GH","Reid_yellow_dent","1","Stalk","Stalk","Open_Pollinated","MMH-2GH-27K_S141_L001_R1_001.trimmed.fastq.gz","MMH-2GH-27K_S141_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"END15Ka","IH","DKC70-27","3","Stalk","Stalk","Hybrid","END15Ka_S229_L001_R1_001.fastq.gz","END15Ka_S229_L001_R2_001.fastq.gz","END","Stalk_END"
"P2BS","Blank","Blank","Blank","Soil","Blank-Soil","Blank","P2BS_S152_L001_R1_001.fastq.gz","P2BS_S152_L001_R2_001.fastq.gz","END","Blank-Soil_END"
"MMH-2GH-20R","GH","B73xOh43","1","Root","Root","Hybrid","MMH-2GH-20R_S88_L001_R1_001.trimmed.fastq.gz","MMH-2GH-20R_S88_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"MMH-2GH-10Z","GH","CML247","0","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-10Z_S34_L001_R1_001.trimmed.fastq.gz","MMH-2GH-10Z_S34_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END4Za","IH","PH207","0","Rhizosphere","Rhizosphere","Inbred","END4Za_S252_L001_R1_001.fastq.gz","END4Za_S252_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"END5Ka","IH","B73","0","Stalk","Stalk","Inbred","END5Ka_S194_L001_R1_001.fastq.gz","END5Ka_S194_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-17Z","GH","B73","1","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-17Z_S40_L001_R1_001.trimmed.fastq.gz","MMH-2GH-17Z_S40_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
